全国地方公共団体コード,都道府県名,市区町村名,集計時点_年月日,曜日,検査実施人数,,
330001,岡山県,,2021/3/30,火,17,,
330001,岡山県,,2021/3/31,水,53,,
330001,岡山県,,2021/4/1,木,34,,
330001,岡山県,,2021/4/2,金,73,,
330001,岡山県,,2021/4/3,土,64,,
330001,岡山県,,2021/4/4,日,18,,
330001,岡山県,,2021/4/5,月,6,,
330001,岡山県,,2021/4/6,火,51,,
330001,岡山県,,2021/4/7,水,23,,
330001,岡山県,,2021/4/8,木,49,,
330001,岡山県,,2021/4/9,金,25,,
330001,岡山県,,2021/4/10,土,54,,
330001,岡山県,,2021/4/11,日,53,,
330001,岡山県,,2021/4/12,月,46,,
330001,岡山県,,2021/4/13,火,69,,
330001,岡山県,,2021/4/14,水,21,,
330001,岡山県,,2021/4/15,木,137,,
330001,岡山県,,2021/4/16,金,41,,
330001,岡山県,,2021/4/17,土,106,,
330001,岡山県,,2021/4/18,日,44,,
330001,岡山県,,2021/4/19,月,14,,
330001,岡山県,,2021/4/20,火,184,,
330001,岡山県,,2021/4/21,水,22,,
330001,岡山県,,2021/4/22,木,87,,
330001,岡山県,,2021/4/23,金,32,,
330001,岡山県,,2021/4/24,土,45,,
330001,岡山県,,2021/4/25,日,9,,
330001,岡山県,,2021/4/26,月,6,,
330001,岡山県,,2021/4/27,火,23,,
330001,岡山県,,2021/4/28,水,11,,
330001,岡山県,,2021/4/29,木,13,,
330001,岡山県,,2021/4/30,金,21,,
330001,岡山県,,2021/5/1,土,,,
330001,岡山県,,2021/5/2,日,,,
330001,岡山県,,2021/5/3,月,,,
330001,岡山県,,2021/5/4,火,16,,
330001,岡山県,,2021/5/5,水,,,
330001,岡山県,,2021/5/6,木,7,,
330001,岡山県,,2021/5/7,金,57,,
330001,岡山県,,2021/5/8,土,,,
330001,岡山県,,2021/5/9,日,,,
330001,岡山県,,2021/5/10,月,38,,
330001,岡山県,,2021/5/11,火,14,,
330001,岡山県,,2021/5/12,水,17,,
330001,岡山県,,2021/5/13,木,10,,
330001,岡山県,,2021/5/14,金,1,,
330001,岡山県,,2021/5/15,土,,,
330001,岡山県,,2021/5/16,日,,,
330001,岡山県,,2021/5/17,月,24,,
330001,岡山県,,2021/5/18,火,73,,
330001,岡山県,,2021/5/19,水,49,,
330001,岡山県,,2021/5/20,木,10,,
330001,岡山県,,2021/5/21,金,22,,
330001,岡山県,,2021/5/22,土,,,
330001,岡山県,,2021/5/23,日,,,
330001,岡山県,,2021/5/24,月,15,,
330001,岡山県,,2021/5/25,火,63,,
330001,岡山県,,2021/5/26,水,10,,
330001,岡山県,,2021/5/27,木,5,,
330001,岡山県,,2021/5/28,金,88,,
330001,岡山県,,2021/5/29,土,,,
330001,岡山県,,2021/5/30,日,,,
330001,岡山県,,2021/5/31,月,87,,
330001,岡山県,,2021/6/1,火,1,,
330001,岡山県,,2021/6/2,水,,,
330001,岡山県,,2021/6/3,木,,,
330001,岡山県,,2021/6/4,金,3,,
330001,岡山県,,2021/6/5,土,,,
330001,岡山県,,2021/6/6,日,,,
330001,岡山県,,2021/6/7,月,,,
330001,岡山県,,2021/6/8,火,42,,
330001,岡山県,,2021/6/9,水,6,,
330001,岡山県,,2021/6/10,木,9,,
330001,岡山県,,2021/6/11,金,11,,
330001,岡山県,,2021/6/12,土,,,
330001,岡山県,,2021/6/13,日,,,
330001,岡山県,,2021/6/14,月,6,,
330001,岡山県,,2021/6/15,火,,,
330001,岡山県,,2021/6/16,水,2,,
330001,岡山県,,2021/6/17,木,9,,
330001,岡山県,,2021/6/18,金,3,,
330001,岡山県,,2021/6/19,土,,,
330001,岡山県,,2021/6/20,日,,,
330001,岡山県,,2021/6/21,月,1,,
330001,岡山県,,2021/6/22,火,2,,
330001,岡山県,,2021/6/23,水,1,,
330001,岡山県,,2021/6/24,木,1,,
330001,岡山県,,2021/6/25,金,,,
330001,岡山県,,2021/6/26,土,,,
330001,岡山県,,2021/6/27,日,,,
330001,岡山県,,2021/6/28,月,1,,
330001,岡山県,,2021/6/29,火,,,
330001,岡山県,,2021/6/30,水,,,
330001,岡山県,,2021/7/1,木,3,,
330001,岡山県,,2021/7/2,金,3,,
330001,岡山県,,2021/7/3,土,,,
330001,岡山県,,2021/7/4,日,,,
330001,岡山県,,2021/7/5,月,1,,
330001,岡山県,,2021/7/6,火,8,,
330001,岡山県,,2021/7/7,水,32,,
330001,岡山県,,2021/7/8,木,2,,
330001,岡山県,,2021/7/9,金,2,,
330001,岡山県,,2021/7/10,土,,,
330001,岡山県,,2021/7/11,日,,,
330001,岡山県,,2021/7/12,月,4,,
330001,岡山県,,2021/7/13,火,9,,
330001,岡山県,,2021/7/14,水,1,,
330001,岡山県,,2021/7/15,木,4,,
330001,岡山県,,2021/7/16,金,5,,
330001,岡山県,,2021/7/17,土,,,
330001,岡山県,,2021/7/18,日,,,
330001,岡山県,,2021/7/19,月,4,,
330001,岡山県,,2021/7/20,火,22,,
330001,岡山県,,2021/7/21,水,78,,
330001,岡山県,,2021/7/22,木,,,
330001,岡山県,,2021/7/23,金,,,
330001,岡山県,,2021/7/24,土,,,
330001,岡山県,,2021/7/25,日,,,
330001,岡山県,,2021/7/26,月,48,,
330001,岡山県,,2021/7/27,火,5,,
330001,岡山県,,2021/7/28,水,8,,
330001,岡山県,,2021/7/29,木,38,,
330001,岡山県,,2021/7/30,金,14,,
330001,岡山県,,2021/7/31,土,,,
330001,岡山県,,2021/8/1,日,,,
330001,岡山県,,2021/8/2,月,24,,
330001,岡山県,,2021/8/3,火,20,,
330001,岡山県,,2021/8/4,水,15,,
330001,岡山県,,2021/8/5,木,46,,
330001,岡山県,,2021/8/6,金,30,,
330001,岡山県,,2021/8/7,土,,,
330001,岡山県,,2021/8/8,日,7,,
330001,岡山県,,2021/8/9,月,,,
330001,岡山県,,2021/8/10,火,25,,
330001,岡山県,,2021/8/11,水,29,,
330001,岡山県,,2021/8/12,木,43,,
330001,岡山県,,2021/8/13,金,33,,
330001,岡山県,,2021/8/14,土,,,
330001,岡山県,,2021/8/15,日,,,
330001,岡山県,,2021/8/16,月,22,,
330001,岡山県,,2021/8/17,火,49,,
330001,岡山県,,2021/8/18,水,11,,
330001,岡山県,,2021/8/19,木,19,,
330001,岡山県,,2021/8/20,金,97,,
330001,岡山県,,2021/8/21,土,,,
330001,岡山県,,2021/8/22,日,,,
330001,岡山県,,2021/8/23,月,25,,
